iter	Passed	Remaining
411	4520	50342
412	4529	50301
413	4538	50277
414	4548	50253
415	4558	50230
416	4568	50208
417	4578	50185
418	4586	50143
419	4593	50091
420	4601	50050
421	4611	50024
422	4621	50001
423	4631	49980
424	4641	49967
425	4653	49961
426	4663	49941
427	4673	49920
428	4684	49911
429	4696	49908
430	4706	49896
431	4715	49867
432	4726	49849
433	4737	49840
434	4750	49848
435	4761	49848
436	4774	49850
437	4785	49841
438	4796	49829
439	4807	49818
440	4817	49800
441	4827	49783
442	4838	49771
443	4849	49759
444	4860	49751
445	4872	49754
446	4884	49751
447	4893	49717
448	4901	49677
449	4909	49637
450	4919	49617
451	4928	49588
452	4937	49555
453	4945	49523
454	4955	49499
455	4964	49473
456	4976	49474
457	4986	49455
458	4998	49454
459	5018	49526
460	5030	49531
461	5039	49500
462	5046	49456
463	5057	49439
464	5073	49480
465	5083	49458
466	5092	49429
467	5100	49394
468	5110	49375
469	5119	49344
470	5129	49323
471	5139	49300
472	5149	49288
473	5162	49292
474	5175	49306
475	5186	49294
476	5194	49256
477	5203	49228
478	5213	49209
479	5224	49199
480	5242	49252
481	5253	49246
482	5263	49220
483	5272	49197
484	5282	49179
485	5292	49156
486	5302	49142
487	5315	49145
488	5323	49110
489	5331	49069
490	5341	49049
491	5352	49044
492	5363	49035
493	5374	49021
494	5383	48994
495	5390	48949
496	5397	48903
497	5405	48869
498	5416	48853
499	5427	48843
500	5435	48809
501	5443	48776
502	5455	48770
503	5472	48821
504	5483	48805
505	5492	48776
506	5500	48747
507	5509	48716
508	5520	48710
509	5529	48679
510	5538	48652
511	5547	48623
512	5560	48637
513	5572	48633
514	5583	48626
515	5595	48620
516	5607	48621
517	5618	48614
518	5625	48571
519	5633	48537
520	5642	48505
521	5652	48491
522	5664	48489
523	5673	48458
524	5685	48463
525	5698	48468
526	5711	48477
527	5719	48442
528	5728	48414
529	5738	48396
530	5748	48382
531	5762	48395
532	5774	48393
533	5785	48385
534	5796	48377
535	5806	48360
536	5817	48352
537	5828	48343
538	5838	48323
539	5850	48320
540	5863	48323
541	5874	48318
542	5888	48330
543	5903	48355
544	5914	48348
545	5925	48333
546	5936	48327
547	5949	48332
548	5961	48333
549	5972	48323
550	5988	48354
551	6002	48371
552	6019	48409
553	6117	49097
554	6132	49115
555	6197	49535
556	6250	49860
557	6275	49959
558	6298	50039
559	6324	50146
560	6353	50276
561	6395	50507
562	6433	50705
563	6470	50889
564	6494	50977
565	6516	51051
566	6535	51093
567	6564	51223
568	6598	51382
569	6612	51391
570	6672	51758
571	6697	51844
572	6708	51827
573	6722	51839
574	6740	51868
575	6756	51894
576	6777	51955
577	6790	51952
578	6805	51966
579	6817	51955
580	6828	51934
581	6851	52013
582	6862	51990
583	6874	51985
584	6885	51964
585	6899	51972
586	6909	51942
587	6928	51989
588	6944	52010
589	6955	51987
590	6969	51995
591	6984	52002
592	7000	52023
593	7013	52025
594	7026	52017
595	7047	52077
596	7058	52057
597	7073	52070
598	7089	52088
599	7098	52054
600	7106	52015
601	7116	51989
602	7129	51990
603	7143	51994
604	7154	51974
605	7166	51965
606	7179	51957
607	7192	51953
608	7213	52014
609	7222	51977
610	7233	51958
611	7242	51931
612	7254	51921
613	7265	51898
614	7274	51871
615	7292	51901
616	7304	51890
617	7315	51872
618	7330	51884
619	7342	51872
620	7353	51854
621	7364	51833
622	7374	51811
623	7384	51788
624	7394	51758
625	7401	51718
626	7412	51697
627	7422	51677
628	7448	51758
629	7490	51957
630	7523	52090
631	7549	52174
632	7559	52152
633	7569	52126
634	7584	52132
635	7596	52125
636	7606	52096
637	7615	52067
638	7631	52082
639	7658	52176
640	7674	52192
641	7685	52170
642	7695	52142
643	7711	52161
644	7726	52169
645	7734	52129
646	7743	52096
647	7756	52096
648	7766	52069
649	7783	52088
650	7798	52097
651	7815	52121
652	7830	52125
653	7845	52133
654	7861	52152
655	7888	52234
656	7902	52241
657	7916	52241
658	7937	52284
659	7946	52251
660	7955	52222
661	7971	52233
662	7985	52235
663	7997	52224
664	8009	52215
665	8028	52246
666	8037	52215
667	8046	52184
668	8055	52151
669	8067	52136
670	8080	52130
671	8089	52100
672	8098	52071
673	8107	52036
674	8119	52027
675	8130	52004
676	8138	51969
677	8150	51956
678	8158	51921
679	8166	51880
680	8173	51839
681	8184	51817
682	8212	51909
683	8231	51940
684	8247	51954
685	8266	51987
686	8282	51998
687	8296	51996
688	8323	52078
689	8336	52072
690	8367	52179
691	8380	52172
692	8390	52148
693	8401	52130
694	8418	52147
695	8429	52129
696	8441	52115
697	8455	52111
698	8466	52093
699	8482	52107
700	8501	52134
701	8534	52250
702	8545	52234
703	8565	52270
704	8576	52248
705	8586	52223
706	8598	52211
707	8609	52194
708	8621	52181
709	8633	52165
710	8657	52225
711	8676	52253
712	8694	52275
713	8707	52271
714	8719	52254
715	8733	52251
716	8744	52232
717	8757	52225
718	8768	52206
719	8778	52185
720	8790	52168
721	8801	52153
722	8814	52144
723	8827	52134
724	8839	52123
725	8851	52112
726	8862	52088
727	8875	52080
728	8888	52073
729	8901	52068
730	8913	52053
731	8925	52043
732	8939	52037
733	8953	52039
734	8966	52028
735	8978	52017
736	8992	52013
737	9004	52003
738	9019	52005
739	9030	51984
740	9040	51964
741	9052	51950
742	9063	51929
743	9072	51899
744	9081	51865
745	9090	51839
746	9100	51813
747	9110	51789
748	9120	51761
749	9128	51727
750	9136	51693
751	9146	51668
752	9156	51641
753	9165	51612
754	9178	51605
755	9194	51615
756	9204	51593
757	9216	51578
758	9230	51578
759	9242	51560
760	9251	51536
761	9265	51530
762	9273	51499
763	9281	51458
764	9288	51420
765	9295	51381
766	9303	51344
767	9310	51305
768	9318	51267
769	9325	51227
770	9332	51188
771	9339	51148
772	9346	51110
773	9354	51072
774	9360	51032
775	9367	50992
776	9374	50952
777	9381	50912
778	9390	50884
779	9404	50881
780	9415	50862
781	9422	50822
782	9429	50783
783	9436	50745
784	9445	50715
785	9452	50678
786	9460	50643
787	9467	50604
788	9474	50565
789	9481	50526
790	9488	50491
791	9501	50480
792	9507	50441
793	9518	50420
794	9527	50393
795	9544	50410
796	9555	50392
797	9569	50391
798	9586	50403
799	9603	50419
800	9618	50420
801	9634	50429
802	9644	50410
803	9653	50378
804	9664	50362
805	9675	50346
806	9686	50328
807	9695	50303
808	9705	50276
809	9712	50241
810	9719	50205
811	9728	50178
812	9739	50161
813	9753	50155
814	9764	50140
815	9776	50130
816	9787	50110
817	9797	50087
818	9806	50063
819	9816	50039
820	9825	50011
821	9832	49975
822	9839	49940
823	9847	49905
824	9854	49869
825	9865	49852
826	9877	49839
827	9887	49819
828	9894	49784
829	9902	49749
830	9909	49711
831	9916	49675
832	9923	49639
833	9930	49603
834	9937	49568
835	9944	49532
836	9951	49496
837	9958	49459
838	9965	49422
839	9973	49394
840	9985	49380
841	9992	49344
842	9999	49309
843	10006	49273
844	10013	49237
845	10021	49208
846	10030	49181
847	10037	49146
848	10045	49115
849	10052	49079
850	10061	49054
851	10074	49048
852	10086	49036
853	10099	49029
854	10110	49015
855	10121	49001
856	10136	49001
857	10146	48984
858	10161	48987
859	10175	48985
860	10184	48959
861	10194	48937
862	10203	48914
863	10212	48886
864	10241	48956
865	10253	48946
866	10260	48912
867	10275	48914
868	10283	48884
869	10290	48851
870	10297	48816
871	10304	48781
872	10311	48748
873	10320	48720
874	10327	48685
875	10334	48651
876	10341	48617
877	10348	48582
878	10355	48547
879	10364	48523
880	10372	48494
881	10379	48459
882	10386	48425
883	10393	48393
884	10400	48359
885	10407	48325
886	10414	48292
887	10421	48258
888	10428	48225
889	10435	48191
890	10442	48158
891	10449	48124
892	10456	48092
893	10464	48060
894	10472	48032
895	10480	48006
896	10488	47973
897	10498	47955
898	10505	47923
899	10514	47900
900	10522	47871
901	10530	47840
902	10536	47807
903	10543	47773
904	10550	47741
905	10558	47709
906	10569	47694
907	10576	47664
908	10583	47631
909	10590	47598
910	10597	47565
911	10604	47533
912	10611	47501
913	10618	47470
914	10625	47437
915	10632	47405
916	10641	47383
917	10649	47352
918	10657	47327
919	10666	47301
920	10674	47276
921	10681	47245
922	10688	47214
923	10695	47182
924	10703	47151
925	10710	47120
926	10717	47088
